,cookie_domain,stmt,No-data-collection,No-tracking,No-data-coll.-for-oba,No-display-OBA,Other
228,skimresources.com,You have the right to opt-out of marketing communications we send you at any time.,0,0,0,0,1
229,skimresources.com,You can exercise this right by clicking on the unsubscribe or opt-out link in the marketing e-mails we send you.,0,0,0,0,1
230,adition.com,Doing so will create an opt-out cookie.,0,0,0,0,1
231,smaato.net,You can also click below to opt out of having the Smaato Ad services used to select ads for your browser based on your online web browsing behavior.,0,0,0,1,0
232,smaato.net,You have opted out from Smaato's cookies for interest-based advertising.,0,0,1,0,0
233,smaato.net,"Even if you opt out, Smaato may continue to collect data for other purposes and you still will receive advertising from the Smaato Ad Service when you visit websites of a Publisher who uses our Platform - but such advertising will not be personalized to you.",0,0,0,1,0
234,smaato.net,"When you opt out, an opt out cookie (from smaato.net) will be stored in your web browser.",0,0,0,0,1
235,smaato.net,"Our platform will know the choice you have made when it sees your opt out cookie, and will apply your choice to all companies using Smaato Ad services for online interest-based advertising from cookies.",0,0,0,0,1
236,alocdn.com,"When you opt out, we will cease sharing your Information with partners and clients for marketing purposes; however, opting out in this way will not immediately affect information that has already been passed to those partners or clients.",0,0,0,0,1
237,alocdn.com,You may opt-out from this process using this form.,0,0,1,0,0
238,alocdn.com,"The opt-out is applied only to the browser from which you make the choice, and the opt-out is cookie based.",0,0,0,0,1
239,alocdn.com,"That means if you disable, block, or delete this cookie, you may no longer be opted-out and you may need to opt-out again.",0,0,0,0,1
240,alocdn.com,Your TowerData cookie opt-out status,0,0,0,0,1
241,alocdn.com,You have not opted-out of cookies used by TowerData or your browser already blocks third-party cookies.,0,0,0,0,1
242,adkernel.com,"If you would prefer not to have Adkernel serve you relevant ads, you may opt-out here",0,0,1,0,0
243,adkernel.com,Use the links at the beginning of this page to opt-out of Adkernel's advertising related cookies.,0,0,1,0,0
244,ml314.com,"If you do not want to receive ads displayed by Bombora based on your online preferences, you can disable the display of Bombora ads here opt out.",0,0,0,1,0
245,undertone.com,Undertone offers an opt-out cookie for those that wish to opt-out of Undertone IBA activities.,0,0,0,1,0
